date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,19.2558002471924
2015,19.7478086257358,1642.52,19.2777004241943
2014,19.8863229427674,1640.716,19.4200992584229
2013,19.5636980308198,1660.739,19.141300201416
2012,19.1955286928342,1663.126,18.7628993988037
2011,18.9715458373925,1644.003,18.5522003173828
2010,19.090729970947,1742.786,18.6709003448486
2009,17.5159481688922,1588.375,17.1263008117676
2008,17.4227405802947,1639.672,17.0212001800537
2007,16.9407765392179,1592.454,16.5562992095947
2006,17.4859942897689,1653.998,17.568000793457
