date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,6.73449993133545
2015,6.7708695317313,44549.43,6.82399988174438
2014,6.63418060132312,47255.94,6.69199991226196
2013,7.00920866865618,51743.51,6.96999979019165
2012,7.24939399554935,53332.43,7.24160003662109
2011,7.37848342362358,52505.01,7.51849985122681
2010,7.01637018392482,50056.72,7.29570007324219
2009,6.77864120236616,45526.67,7.38759994506836
2008,6.48734726181925,45090.91,7.0802001953125
2007,6.62227569372791,44995.27,7.27360010147095
2006,6.48867852567754,44730.01,7.19309997558594
