date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,9.20689964294434
2015,9.20164053078148,128345.2,9.37609958648682
2014,9.07399509752252,120885.3,9.12479972839355
2013,8.12943452255499,116093.9,8.09290027618408
2012,7.75872906587017,106269.8,7.75899982452393
2011,6.63206514838302,89948.52,6.63009977340698
2010,5.83739147556669,86011.18,5.82480001449585
2009,4.83345935359174,66733.06,4.82730007171631
2008,3.91175029674187,56267.56,3.90529990196228
2007,3.32908124864994,46372.26,3.33789992332459
2006,2.82662388741233,40459.49,2.82229995727539
