date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,23.0282001495361
2015,40.7500602307998,73353.16,25.2754001617432
2014,41.7454627776529,72374.82,23.6758995056152
2013,19.4773965635019,23771.68,19.4764995574951
2012,15.279166269758,19433.22,15.2788000106812
2011,14.1582283938188,18633.26,14.1579999923706
2010,19.5688468879406,24950.86,19.5678005218506
2009,17.4348269862004,21086.78,17.4342002868652
2008,14.2780105314711,19327.45,14.2776002883911
2007,14.8406065477518,17064.99,14.8403997421265
2006,18.1246590669147,19904.86,18.1240005493164
