date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,17.6730003356934
2015,17.6500779274042,69034.96,17.8199005126953
2014,16.966624812368,62885.92,17.1172008514404
2013,18.1570190693118,65572.01,18.2063999176025
2012,15.751452162522,59904.57,15.6031999588013
2011,13.2770293580204,50584.8,13.203200340271
2010,14.367527798517,52298.05,14.2405996322632
2009,11.6601737928254,41298.57,11.5978002548218
2008,9.95069883739695,40042.6,9.92049980163574
2007,8.87048617289125,36455.06,8.83740043640137
2006,10.0037633096648,41558.91,9.97039985656738
