date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,31.8474006652832
2015,33.1274666358571,89589.79,33.1091003417969
2014,33.6481912689857,86063.93,33.6200981140137
2013,32.8375105987798,88538.09,32.8404998779297
2012,29.4219488727739,80441.68,29.426399230957
2011,27.1862393886566,77919.73,27.1821994781494
2010,29.7750473065786,88498.82,29.7745990753174
2009,27.1782564634504,80443.4,27.1781005859375
2008,24.1559113463947,73650.5,24.1562995910645
2007,22.6721558894394,68143.04,22.6728992462158
2006,25.5172157785772,76442.11,25.5172996520996
