date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,14.7812995910645
2015,14.8285619496241,142773.3,14.8454999923706
2014,14.8307420893096,139034.7,14.8607997894287
2013,13.9237189142382,134716.0,13.9561996459961
2012,12.7628160099154,124598.5,12.8043003082275
2011,12.1206034597646,118405.7,12.1571998596191
2010,10.9177199801872,110296.4,10.9521999359131
2009,10.2141620436068,102475.4,10.2510004043579
2008,8.95510134531697,92756.04,8.9931001663208
2007,8.29258027824795,85907.49,8.32209968566895
2006,7.85828772533033,83187.21,7.88129997253418
