date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,32.1296005249023
2015,33.1702771730605,181410.8,32.9777984619141
2014,30.2716312824144,159864.5,30.2283992767334
2013,27.3428385982791,151355.2,27.0977993011475
2012,27.2819568791468,152994.2,26.9120006561279
2011,23.8989672739058,139677.6,23.8097991943359
2010,21.3548364626267,131443.4,21.1816997528076
2009,19.3427639308072,113452.9,19.3188991546631
2008,18.5492546879512,113606.2,18.5280990600586
2007,17.7009281704155,109862.8,17.6800003051758
2006,15.2671237358586,94541.65,15.2462997436523
