date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,26.9139003753662
2015,27.4768334658828,31570.59,27.5559997558594
2014,25.3260591405017,29454.4,25.4899005889893
2013,24.4752448868179,29150.83,24.5499000549316
2012,24.9085588565359,29590.75,25.0216999053955
2011,24.9835417865552,29327.5,25.0944995880127
2010,25.1298919417513,30232.7,25.3894996643066
2009,24.088768704071,27581.05,24.0755996704102
2008,20.1889954781843,25571.22,20.2436008453369
2007,18.5652519784108,23621.78,18.5466995239258
2006,17.1630792135775,20375.07,17.1438007354736
