date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,14.4117002487183
2015,13.4992623166677,760300.4,13.4837999343872
2014,13.3470246384899,736346.1,13.3534002304077
2013,13.4773744348411,808277.4,13.5736999511719
2012,12.372958762063,725254.3,12.5293998718262
2011,10.9136904355435,617406.4,10.8296003341675
2010,11.8458733047694,731191.6,11.9933996200562
2009,11.2220062136121,669329.4,11.3165998458862
2008,10.4732303588833,649586.9,10.6001996994019
2007,9.32132831522475,571542.2,9.45499992370605
2006,8.46011282921616,530365.3,8.52379989624023
