date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,14.2413997650146
2015,14.2062526977772,1183042.0,14.5502996444702
2014,13.3788782316752,1087820.0,14.0247001647949
2013,12.0890787546162,1030489.0,13.6276998519897
2012,12.0151357257952,997310.0,13.641900062561
2011,11.3943559060623,935657.0,12.5438003540039
2010,10.2935196369107,889170.7,11.6059999465942
2009,9.63006156970857,781838.3,10.7170000076294
2008,8.59224825671174,734775.9,10.2462997436523
2007,9.40658790331653,775851.8,10.4651002883911
2006,7.75322465619858,683859.3,8.59440040588379
