date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,16.4099998474121
2015,17.170047546133,112744.2,17.4748992919922
2014,16.0857927242722,99323.25,16.4074001312256
2013,16.2938175121062,99687.37,16.6119003295898
2012,13.8593777473623,94858.53,14.170599937439
2011,11.0883158079466,84165.89,11.3763999938965
2010,11.0929826096158,85083.18,11.3745002746582
2009,8.92002878304834,73483.44,9.19079971313477
2008,8.10995865037923,68754.46,8.32100009918213
2007,7.91862893299639,69486.73,8.05220031738281
2006,8.21168013914292,70386.65,8.50780010223389
