date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,15.2638998031616
2015,15.559362050795,110073.3,15.6000995635986
2014,15.6745498209192,104209.4,15.7227001190186
2013,17.1963887090332,117369.9,17.1826992034912
2012,16.4652046189581,110845.0,16.465799331665
2011,14.7429917419872,105025.6,14.7435998916626
2010,13.4560288300338,95413.92,13.4565000534058
2009,8.39915478882437,55963.03,12.2901000976563
2008,6.75518941278625,46802.49,8.95930004119873
2007,6.14033259500628,42289.62,8.99969959259033
2006,5.36412863587077,39121.05,7.86390018463135
