date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,77.4712982177734
2015,77.029689205553,91392.87,77.1162033081055
2014,76.3388709815554,87101.0,76.4253997802734
2013,76.2194959459808,85919.5,76.3107986450195
2012,77.3446814179132,84106.67,77.3433990478516
2011,76.4508536593322,80595.34,76.4494018554688
2010,75.4196918406966,79386.96,75.4182968139648
2009,74.1238775545343,79405.99,74.1223983764648
2008,73.4615703076425,77859.13,73.4600982666016
2007,66.7515975965699,61250.96,66.7505035400391
2006,64.0158457529678,53621.73,64.0149993896484
