date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,8.49880027770996
2015,9.08139901337063,39051.66,9.09179973602295
2014,8.52066979093462,35406.03,8.43910026550293
2013,7.40476688097015,30991.7,7.3516001701355
2012,6.61854861056846,27549.99,6.5770001411438
2011,6.70936460707383,28385.35,6.67649984359741
2010,5.27353814314154,24506.98,5.24100017547607
2009,5.24675647912276,24565.38,5.22469997406006
2008,4.1533712191485,21276.19,4.13969993591309
2007,3.55636727600881,18104.71,3.53439998626709
2006,3.20365263829232,16449.65,3.18569993972778
