date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,31.4717998504639
2015,28.9611792543763,57858.64,28.9622993469238
2014,27.7050524829416,55507.02,27.7318992614746
2013,26.3425134741084,51772.36,26.3433990478516
2012,23.9225824954477,48282.36,23.9237003326416
2011,22.738272612436,44837.35,22.7392997741699
2010,21.4576523593236,42569.74,21.4589996337891
2009,20.0864826899959,38577.23,20.088399887085
2008,18.3338324622482,38622.53,18.335599899292
2007,17.0621308375779,36597.71,17.0638008117676
2006,17.4624281846828,35605.11,17.4641990661621
