date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,25.2954998016357
2015,14.2736887091697,13722.13,24.722900390625
2014,13.0473500202632,12573.18,24.3090000152588
2013,13.0788625781267,12170.96,23.8173007965088
2012,10.469330356643,10152.83,21.6250991821289
2011,9.8870709263633,9886.09,20.0156002044678
2010,8.44006198180788,8392.845,19.7653999328613
2009,4.86046112662844,4102.959,4.84390020370483
2008,4.93761489091685,4492.147,4.92500019073486
2007,4.46520058810206,4128.283,4.43610000610352
2006,4.98054300005699,4804.018,4.98059988021851
