date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,5.63889980316162
2015,5.88946307882733,107380.2,5.71049976348877
2014,5.6596277365589,100912.6,5.52650022506714
2013,5.02497632448663,98861.53,4.9355001449585
2012,4.96229874253427,97473.33,4.89820003509521
2011,4.69671405687638,92264.89,4.69339990615845
2010,3.87316274177259,82182.62,3.8503999710083
2009,4.41013166760311,87267.63,4.38170003890991
2008,3.97398479546157,81354.52,3.94180011749268
2007,3.72163378096634,74957.87,3.68309998512268
2006,3.15183828132172,64827.37,3.1168999671936
