date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,21.431999206543
2015,24.2181297260889,18886.42,23.960599899292
2014,21.204238579028,15922.06,21.2196006774902
2013,21.1970874417553,16065.21,21.1996002197266
2012,18.2822965541185,14098.17,18.2943000793457
2011,18.6440353374068,14812.4,18.6578006744385
2010,22.3303036002751,16669.65,22.3500995635986
2009,18.4654640318307,12926.82,18.4734001159668
2008,15.5905506437441,11706.58,15.6104001998901
2007,15.6994485360326,12173.95,15.701000213623
2006,19.6458669688065,14513.54,19.6471996307373
