date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,59.4174995422363
2015,57.7720015985381,436883.3,58.13330078125
2014,57.1964019487249,426112.9,56.9207000732422
2013,57.7259495348125,443939.9,57.440601348877
2012,58.2758503900785,445975.8,58.0032005310059
2011,56.5293289729021,430093.6,56.7144012451172
2010,56.4245557827767,449918.9,56.3782005310059
2009,56.7709250908695,423471.6,56.7541999816895
2008,58.4937325340999,451739.0,58.489200592041
2007,57.3900655250325,441951.8,57.3867988586426
2006,57.0596904305054,431346.3,57.0558013916016
