date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,11.3368997573853
2015,11.9114882087605,302285.7,11.8677997589111
2014,11.5693155275748,290342.5,11.5761003494263
2013,11.4133798111271,295061.8,11.4137001037598
2012,10.9151432472711,287378.6,10.9133996963501
2011,10.4378791791655,276416.4,10.43869972229
2010,9.48862385817713,257873.1,9.48910045623779
2009,8.84206269227445,223113.7,8.84249973297119
2008,8.01054019560925,204127.2,8.0113000869751
2007,7.27576452403753,182391.7,7.27600002288818
2006,7.18396505457932,179586.8,7.18410015106201
