date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,29.0014991760254
2015,27.15729838594,169816.1,27.2049999237061
2014,30.4570080786211,188091.1,30.4589004516602
2013,30.1720552112441,187809.8,30.1735992431641
2012,25.5174408920039,161008.0,25.5165996551514
2011,27.2191030249245,186850.7,27.2176990509033
2010,27.8279775694672,200638.4,27.8269996643066
2009,24.8945429909406,181026.2,24.8973999023438
2008,23.1891693537966,170115.3,23.1907005310059
2007,23.1481360680146,175078.2,23.1487998962402
2006,22.3317513696428,165242.4,22.3332004547119
