date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,24.4260005950928
2015,23.6977940316245,211769.1,23.6928005218506
2014,24.3318800956785,216582.3,24.3328990936279
2013,23.0902321977293,206941.3,23.0912990570068
2012,21.5509591718079,202338.2,21.5499992370605
2011,21.1127362058663,194702.7,21.1124992370605
2010,24.0957070447707,220239.0,24.0960998535156
2009,22.1822696766077,201245.8,22.1833992004395
2008,20.3889961714965,204146.4,20.4302005767822
2007,18.1794263238613,175916.3,18.1961002349854
2006,17.4105082489028,172924.7,17.4102993011475
