date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,3.35719990730286
2015,3.30422835092973,522370.1,3.20029997825623
2014,3.42242694642671,547443.0,3.29609990119934
2013,3.74450411353368,576382.2,3.6068000793457
2012,3.35404111566791,536201.0,3.24429988861084
2011,3.22779553551528,529602.0,3.22709989547729
2010,3.34274839695926,532164.3,3.34200000762939
2009,3.59962303289662,545127.8,3.59879994392395
2008,3.30773838077743,535540.1,3.30699992179871
2007,3.66924015170896,583469.8,3.66840004920959
2006,3.48389985326339,553221.2,3.48309993743896
