date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,21.0032997131348
2015,21.1738852789742,69936.12,21.3332004547119
2014,23.4292907492289,74513.35,23.4585990905762
2013,20.2282689570639,68741.59,20.1916999816895
2012,19.6057338440094,68300.22,19.6193008422852
2011,17.5507574597227,66044.33,17.5618991851807
2010,20.5950876375869,74732.23,20.6177005767822
2009,20.8223570457481,71347.67,20.8229999542236
2008,15.5663395651875,59419.0,15.5663995742798
2007,14.2934065631556,59846.16,14.0297002792358
2006,15.6866835593465,61995.18,15.332200050354
