date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,20.7875995635986
2015,20.8773961432658,40762.94,20.8129005432129
2014,22.3004865571111,42618.89,22.3006992340088
2013,22.0056325886711,43920.92,22.0063991546631
2012,19.7046257549979,40214.33,19.7054996490479
2011,18.5864329328115,38904.87,18.5874004364014
2010,19.5047538484834,40917.03,19.505500793457
2009,19.0283649811127,38311.66,19.0291004180908
2008,13.8524951998047,30358.91,13.8527002334595
2007,14.0899770794388,28682.43,14.0903997421265
2006,14.4143715723375,29707.29,14.4146995544434
