date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,17.1770000457764
2015,16.254097737239,513540.8,16.2985000610352
2014,17.3517358032041,541486.8,17.3747997283936
2013,16.9499656957041,539846.5,16.9605007171631
2012,15.7709502104472,519522.5,15.7988004684448
2011,14.7459265297844,506659.2,14.7653999328613
2010,14.3957857926708,513546.1,14.4125003814697
2009,12.2179472922962,428621.4,12.2313003540039
2008,9.73720293479251,368151.7,9.74450016021729
2007,9.00538792948648,353515.9,9.01000022888184
2006,8.47220721044921,324023.2,8.47439956665039
