date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,24.1103992462158
2015,25.2919836825127,195365.5,23.9573993682861
2014,23.4181472290315,178272.0,22.211799621582
2013,22.9925196662751,191033.0,21.838399887085
2012,22.9585027869576,186281.6,21.8887004852295
2011,21.5570329141586,168578.0,20.5660991668701
2010,21.4603638355235,182261.1,20.5641994476318
2009,20.7538728903066,169071.0,19.9731006622314
2008,20.2420204736258,168002.3,19.5492000579834
2007,19.930051686683,159574.1,19.3090000152588
2006,18.6568106777046,154265.8,18.0666999816895
