date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,5.47399997711182
2015,4.14431803937237,82440.89,4.14249992370605
2014,3.49974621772774,84885.55,3.49920010566711
2013,3.48873328398983,95153.58,3.48810005187988
2012,2.85763459113999,79475.3,2.85750007629395
2011,2.73851800040502,79902.19,2.73839998245239
2010,2.88271343442415,82530.94,2.8824999332428
2009,2.96328259128296,78557.12,2.96309995651245
2008,2.72486832493131,86216.38,2.72469997406006
2007,2.38695932655194,77580.49,2.38680005073547
2006,1.73451708138007,53959.89,1.75380003452301
