date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,8.680100440979
2015,8.71168557437913,429157.5,8.58769989013672
2014,7.3952204555385,358785.1,7.36040019989014
2013,6.01578094932047,309751.8,6.01760005950928
2012,4.75125761850907,243652.1,4.76910018920898
2011,4.40111862136268,218559.6,4.43569993972778
2010,3.63891826187997,198481.1,3.66650009155273
2009,3.38303166308866,175739.7,3.37779998779297
2008,2.78279191396424,155496.3,2.78810000419617
2007,1.83965077165068,102465.0,1.83940005302429
2006,1.55391999101972,87957.64,1.55369997024536
